act,slpstate,time
266,1,22:59:00
285,1,22:59:30
250,1,23:00:00
358,1,23:00:30
141,1,23:01:00
212,1,23:01:30
173,1,23:02:00
198,1,23:02:30
145,1,23:03:00
131,1,23:03:30
185,1,23:04:00
266,1,23:04:30
20,1,23:05:00
88,1,23:05:30
3,1,23:06:00
99,0,23:06:30
285,0,23:07:00
9,0,23:07:30
0,0,23:08:00
0,0,23:08:30
0,0,23:09:00
0,0,23:09:30
19,1,23:10:00
0,0,23:10:30
0,0,23:11:00
0,0,23:11:30
44,0,23:12:00
0,0,23:12:30
13,0,23:13:00
0,0,23:13:30
17,0,23:14:00
0,0,23:14:30
0,0,23:15:00
0,1,23:15:30
0,0,23:16:00
0,0,23:16:30
0,0,23:17:00
51,0,23:17:30
0,0,23:18:00
0,0,23:18:30
1,1,23:19:00
0,1,23:19:30
0,1,23:20:00
0,1,23:20:30
33,1,23:21:00
35,0,23:21:30
54,0,23:22:00
56,0,23:22:30
13,0,23:23:00
0,0,23:23:30
0,0,23:24:00
12,0,23:24:30
0,0,23:25:00
0,1,23:25:30
0,0,23:26:00
0,0,23:26:30
0,0,23:27:00
33,0,23:27:30
0,0,23:28:00
0,0,23:28:30
1,0,23:29:00
0,0,23:29:30
0,0,23:30:00
0,0,23:30:30
0,0,23:31:00
0,0,23:31:30
0,1,23:32:00
0,1,23:32:30
0,0,23:33:00
0,0,23:33:30
26,0,23:34:00
88,0,23:34:30
0,0,23:35:00
0,0,23:35:30
0,0,23:36:00
0,0,23:36:30
2,0,23:37:00
0,0,23:37:30
0,0,23:38:00
0,0,23:38:30
0,0,23:39:00
0,0,23:39:30
0,1,23:40:00
0,1,23:40:30
0,1,23:41:00
0,1,23:41:30
0,1,23:42:00
0,1,23:42:30
173,1,23:43:00
325,0,23:43:30
51,0,23:44:00
14,1,23:44:30
10,0,23:45:00
0,0,23:45:30
0,0,23:46:00
20,0,23:46:30
0,0,23:47:00
0,1,23:47:30
0,1,23:48:00
0,1,23:48:30
0,1,23:49:00
0,1,23:49:30
17,1,23:50:00
434,1,23:50:30
0,1,23:51:00
0,1,23:51:30
2,1,23:52:00
156,1,23:52:30
0,0,23:53:00
109,1,23:53:30
42,1,23:54:00
0,0,23:54:30
0,0,23:55:00
36,0,23:55:30
36,0,23:56:00
0,0,23:56:30
0,0,23:57:00
0,0,23:57:30
0,0,23:58:00
0,0,23:58:30
0,0,23:59:00
0,0,23:59:30
0,0,0:00:00
0,0,0:00:30
0,1,0:01:00
0,0,0:01:30
0,1,0:02:00
0,1,0:02:30
42,1,0:03:00
0,1,0:03:30
1,1,0:04:00
136,1,0:04:30
31,1,0:05:00
42,0,0:05:30
136,0,0:06:00
95,0,0:06:30
0,1,0:07:00
1,1,0:07:30
0,1,0:08:00
0,1,0:08:30
0,1,0:09:00
0,1,0:09:30
74,1,0:10:00
579,1,0:10:30
258,1,0:11:00
680,1,0:11:30
258,1,0:12:00
56,0,0:12:30
0,0,0:13:00
0,1,0:13:30
16,1,0:14:00
0,1,0:14:30
0,1,0:15:00
0,1,0:15:30
56,0,0:16:00
205,0,0:16:30
28,1,0:17:00
0,1,0:17:30
0,1,0:18:00
