sumact,max,stdev,fivecount,log,state
45,44,9.59315232,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,wake
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
0,0,0,0,4.784189634,sleep
44,44,9.60158717,0,1,sleep
44,44,9.60158717,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
45,44,9.59315232,0,1,sleep
1,1,0.21821789,0,1,sleep
0,0,0,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
0,0,0,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
1,1,0.21821789,0,1,sleep
10,9,1.96517296,0,1,sleep
141,131,28.54495202,0,1,sleep
254,131,36.70136886,0,1,sleep
254,131,36.70136886,0,1,sleep
254,131,36.70136886,0,1,sleep
254,131,36.70136886,0,1,sleep
380,131,44.30790535,0,1,wake
381,131,44.28801837,0,1,wake
381,131,44.28801837,0,1,wake
381,131,44.28801837,0,1,wake
416,131,44.58432353,0,3.197224577,wake
294,127,36.60601044,0,5.875197323,sleep
322,131,39.03246512,0,5.727387819,wake
435,131,44.25284494,0,1,sleep
435,131,44.25284494,0,1,sleep
435,131,44.25284494,0,1,sleep
308,131,37.10166214,0,5.844187086,wake
435,131,44.25284494,0,1,sleep
